INFO:root:T=1646229580.7907686 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1646229585.400775| Pinching front valves
INFO:root:T= 1646229585.400775 | asked for command Valve F1 ON
INFO:root:T= 1646229585.420775 | finished for command Valve F1 ON
INFO:root:T= 1646229585.420775 | asked for command Valve F2 ON
INFO:root:T= 1646229585.430775 | finished for command Valve F2 ON
INFO:root:T= 1646229585.430775 | asked for command Valve F3 ON
INFO:root:T= 1646229585.440775 | finished for command Valve F3 ON
INFO:root:T= 1646229585.440775 | asked for command Valve F4 ON
INFO:root:T= 1646229585.450775 | finished for command Valve F4 ON
INFO:root:T= 1646229585.450775 | asked for command Valve F5 ON
INFO:root:T= 1646229585.460775 | finished for command Valve F5 ON
INFO:root:T= 1646229585.460775 | asked for command Valve F6 ON
INFO:root:T= 1646229585.470775 | finished for command Valve F6 ON
INFO:root:T= 1646229585.470775 | asked for command Valve F7 ON
INFO:root:T= 1646229585.480775 | finished for command Valve F7 ON
INFO:root:T= 1646229585.480775 | asked for command Valve F8 ON
INFO:root:T= 1646229585.490775 | finished for command Valve F8 ON
INFO:root:T= 1646229585.930776| Pinching front valves
INFO:root:T= 1646229585.930776 | asked for command Valve F1 OFF
INFO:root:T= 1646229585.940776 | finished for command Valve F1 OFF
INFO:root:T= 1646229585.940776 | asked for command Valve F2 OFF
INFO:root:T= 1646229585.950776 | finished for command Valve F2 OFF
INFO:root:T= 1646229585.950776 | asked for command Valve F3 OFF
INFO:root:T= 1646229585.960776 | finished for command Valve F3 OFF
INFO:root:T= 1646229585.960776 | asked for command Valve F4 OFF
INFO:root:T= 1646229585.970776 | finished for command Valve F4 OFF
INFO:root:T= 1646229585.970776 | asked for command Valve F5 OFF
INFO:root:T= 1646229585.980776 | finished for command Valve F5 OFF
INFO:root:T= 1646229585.980776 | asked for command Valve F6 OFF
INFO:root:T= 1646229585.990776 | finished for command Valve F6 OFF
INFO:root:T= 1646229585.990776 | asked for command Valve F7 OFF
INFO:root:T= 1646229586.010776 | finished for command Valve F7 OFF
INFO:root:T= 1646229586.010776 | asked for command Valve F8 OFF
INFO:root:T= 1646229586.030776 | finished for command Valve F8 OFF
INFO:root:T= 1646229592.840786 | sending request gotobin to the ot2
INFO:root:T= 1646229592.890785 | Finished request gotobin to the ot2
INFO:root:T= 1646229711.980952 | sending request blink/1 to the ot2
INFO:root:T= 1646229712.500953 | Finished request blink/1 to the ot2
INFO:root:T= 1646229712.500953 | asked for command Valve B1 ON
WARNING:root:reading Valve B1 state not successful, trying again
INFO:root:T= 1646229715.510957 | finished for command Valve B1 ON
INFO:root:T= 1646229715.510957 | asked for command Valve B2 ON
INFO:root:T= 1646229715.520957 | finished for command Valve B2 ON
INFO:root:T= 1646229715.520957 | asked for command Valve B3 ON
INFO:root:T= 1646229715.530957 | finished for command Valve B3 ON
INFO:root:T= 1646229715.530957 | asked for turbidity readings for turbi sets {1, 2}
INFO:root:T= 1646229716.620959 | received turbidity readings for turbi set 1: R1= 132.0 R2= 126.0 R3= 111.0 R4= 157.0
INFO:root:T= 1646229717.720961 | received turbidity readings for turbi set 2: R5= 125.0 R6= 146.0 R7= 190.0 R8= 143.0
INFO:root:T= 1646229722.830968 | received turbidity readings for turbi set 1: R1= 126.0 R2= 123.0 R3= 107.0 R4= 160.0
INFO:root:T= 1646229723.970969 | received turbidity readings for turbi set 2: R5= 127.0 R6= 145.0 R7= 183.0 R8= 136.0
INFO:root:T= 1646229729.090976 | received turbidity readings for turbi set 1: R1= 128.0 R2= 126.0 R3= 106.0 R4= 160.0
INFO:root:T= 1646229730.180978 | received turbidity readings for turbi set 2: R5= 126.0 R6= 140.0 R7= 187.0 R8= 139.0
INFO:root:T= 1646229735.290985 | received turbidity readings for turbi set 1: R1= 127.0 R2= 126.0 R3= 102.0 R4= 156.0
INFO:root:T= 1646229736.370986 | received turbidity readings for turbi set 2: R5= 131.0 R6= 144.0 R7= 184.0 R8= 142.0
INFO:root:T= 1646229741.490994 | received turbidity readings for turbi set 1: R1= 129.0 R2= 128.0 R3= 108.0 R4= 155.0
INFO:root:T= 1646229742.560995 | received turbidity readings for turbi set 2: R5= 127.0 R6= 138.0 R7= 186.0 R8= 145.0
INFO:root:T= 1646229747.661002 | received turbidity readings for turbi set 1: R1= 127.0 R2= 128.0 R3= 104.0 R4= 143.0
