INFO:root:T=1654247786.1105118 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1654247800.110531| Pinching front valves
INFO:root:T= 1654247800.110531 | asked for command Valve F1 ON
INFO:root:T= 1654247800.130532 | finished for command Valve F1 ON
INFO:root:T= 1654247800.130532 | asked for command Valve F5 ON
INFO:root:T= 1654247800.150532 | finished for command Valve F5 ON
INFO:root:T= 1654247800.150532 | asked for command Valve F2 ON
INFO:root:T= 1654247800.160532 | finished for command Valve F2 ON
INFO:root:T= 1654247800.160532 | asked for command Valve F3 ON
INFO:root:T= 1654247800.170532 | finished for command Valve F3 ON
INFO:root:T= 1654247800.170532 | asked for command Valve F4 ON
INFO:root:T= 1654247800.180532 | finished for command Valve F4 ON
INFO:root:T= 1654247800.180532 | asked for command Valve F6 ON
INFO:root:T= 1654247800.190531 | finished for command Valve F6 ON
INFO:root:T= 1654247800.190531 | asked for command Valve F7 ON
INFO:root:T= 1654247800.200532 | finished for command Valve F7 ON
INFO:root:T= 1654247800.200532 | asked for command Valve F8 ON
INFO:root:T= 1654247800.210531 | finished for command Valve F8 ON
INFO:root:T= 1654247800.640532| Pinching front valves
INFO:root:T= 1654247800.640532 | asked for command Valve F1 OFF
INFO:root:T= 1654247800.670532 | finished for command Valve F1 OFF
INFO:root:T= 1654247800.670532 | asked for command Valve F5 OFF
INFO:root:T= 1654247800.680532 | finished for command Valve F5 OFF
INFO:root:T= 1654247800.680532 | asked for command Valve F2 OFF
INFO:root:T= 1654247800.690532 | finished for command Valve F2 OFF
INFO:root:T= 1654247800.690532 | asked for command Valve F3 OFF
INFO:root:T= 1654247800.700532 | finished for command Valve F3 OFF
INFO:root:T= 1654247800.700532 | asked for command Valve F4 OFF
INFO:root:T= 1654247800.710532 | finished for command Valve F4 OFF
INFO:root:T= 1654247800.710532 | asked for command Valve F6 OFF
INFO:root:T= 1654247800.720532 | finished for command Valve F6 OFF
INFO:root:T= 1654247800.720532 | asked for command Valve F7 OFF
INFO:root:T= 1654247800.730532 | finished for command Valve F7 OFF
INFO:root:T= 1654247800.730532 | asked for command Valve F8 OFF
INFO:root:T= 1654247800.740532 | finished for command Valve F8 OFF
INFO:root:T= 1654247854.830608 | sending request blink/1 to the ot2
INFO:root:T= 1654247855.350609 | Finished request blink/1 to the ot2
INFO:root:T= 1654247855.350609 | asked for command Valve B1 ON
INFO:root:T= 1654247855.370609 | finished for command Valve B1 ON
INFO:root:T= 1654247855.370609 | asked for command Valve B2 ON
INFO:root:T= 1654247855.380609 | finished for command Valve B2 ON
INFO:root:T= 1654247855.380609 | asked for command Valve B3 ON
INFO:root:T= 1654247855.390609 | finished for command Valve B3 ON
INFO:root:T= 1654247855.390609 | asked for turbidity readings for turbi sets {1, 2}
INFO:root:T= 1654247856.500610 | received turbidity readings for turbi set 1: R1= 190.0 R2= 171.0 R3= 138.0 R4= 181.0
INFO:root:T= 1654247857.600612 | received turbidity readings for turbi set 2: R5= 183.0 R6= 175.0 R7= 246.0 R8= 155.0
INFO:root:T= 1654247862.700619 | received turbidity readings for turbi set 1: R1= 185.0 R2= 167.0 R3= 139.0 R4= 171.0
INFO:root:T= 1654247863.810621 | received turbidity readings for turbi set 2: R5= 179.0 R6= 169.0 R7= 243.0 R8= 153.0
INFO:root:T= 1654247868.890628 | received turbidity readings for turbi set 1: R1= 191.0 R2= 170.0 R3= 143.0 R4= 177.0
INFO:root:T= 1654247869.930629 | received turbidity readings for turbi set 2: R5= 179.0 R6= 171.0 R7= 247.0 R8= 151.0
INFO:root:T= 1654247875.050636 | received turbidity readings for turbi set 1: R1= 195.0 R2= 170.0 R3= 142.0 R4= 176.0
INFO:root:T= 1654247876.150638 | received turbidity readings for turbi set 2: R5= 184.0 R6= 175.0 R7= 247.0 R8= 151.0
INFO:root:T= 1654247881.220645 | received turbidity readings for turbi set 1: R1= 190.0 R2= 170.0 R3= 139.0 R4= 187.0
INFO:root:T= 1654247882.300646 | received turbidity readings for turbi set 2: R5= 183.0 R6= 171.0 R7= 243.0 R8= 154.0
INFO:root:T= 1654247887.420654 | received turbidity readings for turbi set 1: R1= 186.0 R2= 169.0 R3= 136.0 R4= 178.0
INFO:root:T= 1654247888.510655 | received turbidity readings for turbi set 2: R5= 179.0 R6= 173.0 R7= 240.0 R8= 145.0
