INFO:root:T=1653050622.505693 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1653050627.635700| Pinching front valves
INFO:root:T= 1653050627.635700 | asked for command Valve F1 ON
INFO:root:T= 1653050627.655700 | finished for command Valve F1 ON
INFO:root:T= 1653050627.655700 | asked for command Valve F2 ON
INFO:root:T= 1653050627.665700 | finished for command Valve F2 ON
INFO:root:T= 1653050627.665700 | asked for command Valve F3 ON
INFO:root:T= 1653050627.675700 | finished for command Valve F3 ON
INFO:root:T= 1653050627.675700 | asked for command Valve F4 ON
INFO:root:T= 1653050627.685700 | finished for command Valve F4 ON
INFO:root:T= 1653050627.685700 | asked for command Valve F5 ON
INFO:root:T= 1653050627.695700 | finished for command Valve F5 ON
INFO:root:T= 1653050627.695700 | asked for command Valve F6 ON
INFO:root:T= 1653050627.705700 | finished for command Valve F6 ON
INFO:root:T= 1653050627.705700 | asked for command Valve F7 ON
INFO:root:T= 1653050627.715700 | finished for command Valve F7 ON
INFO:root:T= 1653050627.715700 | asked for command Valve F8 ON
INFO:root:T= 1653050627.725700 | finished for command Valve F8 ON
INFO:root:T= 1653050643.805723| Pinching front valves
INFO:root:T= 1653050643.805723 | asked for command Valve F1 OFF
INFO:root:T= 1653050643.825723 | finished for command Valve F1 OFF
INFO:root:T= 1653050643.825723 | asked for command Valve F2 OFF
INFO:root:T= 1653050643.835723 | finished for command Valve F2 OFF
INFO:root:T= 1653050643.835723 | asked for command Valve F3 OFF
INFO:root:T= 1653050643.845723 | finished for command Valve F3 OFF
INFO:root:T= 1653050643.845723 | asked for command Valve F4 OFF
INFO:root:T= 1653050643.855723 | finished for command Valve F4 OFF
INFO:root:T= 1653050643.855723 | asked for command Valve F5 OFF
INFO:root:T= 1653050643.865723 | finished for command Valve F5 OFF
INFO:root:T= 1653050643.865723 | asked for command Valve F6 OFF
INFO:root:T= 1653050643.875723 | finished for command Valve F6 OFF
INFO:root:T= 1653050643.875723 | asked for command Valve F7 OFF
INFO:root:T= 1653050643.885723 | finished for command Valve F7 OFF
INFO:root:T= 1653050643.885723 | asked for command Valve F8 OFF
INFO:root:T= 1653050643.895723 | finished for command Valve F8 OFF
INFO:root:T= 1653050652.605735| Started an input pumps priming sequence
INFO:root:T= 1653050654.015737 | asked for opening Pump L1 for duration 6.000000 seconds
INFO:root:T= 1653050654.015737 | asked for command Pump L1 ON
INFO:root:T= 1653050654.035737 | finished for command Pump L1 ON
INFO:root:T= 1653050654.035737 | asked for opening Pump L2 for duration 6.000000 seconds
INFO:root:T= 1653050654.035737 | asked for command Pump L2 ON
INFO:root:T= 1653050654.045737 | finished for command Pump L2 ON
INFO:root:T= 1653050654.045737 | asked for opening Pump L3 for duration 6.000000 seconds
INFO:root:T= 1653050654.045737 | asked for command Pump L3 ON
INFO:root:T= 1653050654.055737 | finished for command Pump L3 ON
INFO:root:T= 1653050654.055737 | asked for opening Pump L4 for duration 6.000000 seconds
INFO:root:T= 1653050654.055737 | asked for command Pump L4 ON
