INFO:root:T=1676903181.621028 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1676903216.041076| Pinching front valves
INFO:root:T= 1676903216.041076 | asked for command Valve F1 ON
INFO:root:T= 1676903216.061076 | finished for command Valve F1 ON
INFO:root:T= 1676903216.061076 | asked for command Valve F2 ON
INFO:root:T= 1676903216.071076 | finished for command Valve F2 ON
INFO:root:T= 1676903216.071076 | asked for command Valve F3 ON
INFO:root:T= 1676903216.081076 | finished for command Valve F3 ON
INFO:root:T= 1676903216.081076 | asked for command Valve F4 ON
INFO:root:T= 1676903216.091076 | finished for command Valve F4 ON
INFO:root:T= 1676903216.091076 | asked for command Valve F5 ON
INFO:root:T= 1676903216.101076 | finished for command Valve F5 ON
INFO:root:T= 1676903216.101076 | asked for command Valve F6 ON
INFO:root:T= 1676903216.111076 | finished for command Valve F6 ON
INFO:root:T= 1676903216.111076 | asked for command Valve F7 ON
INFO:root:T= 1676903216.121076 | finished for command Valve F7 ON
INFO:root:T= 1676903216.121076 | asked for command Valve F8 ON
INFO:root:T= 1676903216.131076 | finished for command Valve F8 ON
INFO:root:T= 1676903308.501205| Pinching front valves
INFO:root:T= 1676903308.501205 | asked for command Valve F1 OFF
WARNING:root:reading Valve F1 state not successful, trying again
INFO:root:T= 1676903311.521210 | finished for command Valve F1 OFF
INFO:root:T= 1676903311.521210 | asked for command Valve F2 OFF
INFO:root:T= 1676903311.531210 | finished for command Valve F2 OFF
INFO:root:T= 1676903311.531210 | asked for command Valve F3 OFF
INFO:root:T= 1676903311.541210 | finished for command Valve F3 OFF
INFO:root:T= 1676903311.541210 | asked for command Valve F4 OFF
INFO:root:T= 1676903311.551210 | finished for command Valve F4 OFF
INFO:root:T= 1676903311.551210 | asked for command Valve F5 OFF
INFO:root:T= 1676903311.561210 | finished for command Valve F5 OFF
INFO:root:T= 1676903311.561210 | asked for command Valve F6 OFF
INFO:root:T= 1676903311.571210 | finished for command Valve F6 OFF
INFO:root:T= 1676903311.571210 | asked for command Valve F7 OFF
INFO:root:T= 1676903311.581210 | finished for command Valve F7 OFF
INFO:root:T= 1676903311.581210 | asked for command Valve F8 OFF
INFO:root:T= 1676903311.591210 | finished for command Valve F8 OFF
INFO:root:T= 1676903505.892482 | asked for opening Valve B1 for duration 10.000000 seconds
INFO:root:T= 1676903505.892482 | asked for command Valve B1 ON
WARNING:root:reading Valve B1 state not successful, trying again
INFO:root:T= 1676903508.912486 | finished for command Valve B1 ON
INFO:root:T= 1676903508.912486 | asked for opening Valve B2 for duration 10.000000 seconds
INFO:root:T= 1676903508.912486 | asked for command Valve B2 ON
INFO:root:T= 1676903508.922486 | finished for command Valve B2 ON
INFO:root:T= 1676903508.922486 | asked for opening Valve B3 for duration 10.000000 seconds
INFO:root:T= 1676903508.922486 | asked for command Valve B3 ON
INFO:root:T= 1676903508.932486 | finished for command Valve B3 ON
INFO:root:T= 1676903508.932486 | asked for opening Valve B4 for duration 10.000000 seconds
INFO:root:T= 1676903508.932486 | asked for command Valve B4 ON
INFO:root:T= 1676903508.942486 | finished for command Valve B4 ON
INFO:root:T= 1676903518.912500 | asked for command Valve B1 OFF
INFO:root:T= 1676903518.922500 | asked for command Valve B2 OFF
