INFO:root:T=1677662404.8590894 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1677662416.229105| Pinching front valves
INFO:root:T= 1677662416.229105 | asked for command Valve F1 ON
INFO:root:T= 1677662416.239105 | finished for command Valve F1 ON
INFO:root:T= 1677662416.239105 | asked for command Valve F2 ON
INFO:root:T= 1677662416.249105 | finished for command Valve F2 ON
INFO:root:T= 1677662416.249105 | asked for command Valve F3 ON
INFO:root:T= 1677662416.259105 | finished for command Valve F3 ON
INFO:root:T= 1677662416.259105 | asked for command Valve F4 ON
INFO:root:T= 1677662416.269105 | finished for command Valve F4 ON
INFO:root:T= 1677662416.269105 | asked for command Valve F5 ON
INFO:root:T= 1677662416.279105 | finished for command Valve F5 ON
INFO:root:T= 1677662416.279105 | asked for command Valve F6 ON
INFO:root:T= 1677662416.289105 | finished for command Valve F6 ON
INFO:root:T= 1677662416.289105 | asked for command Valve F7 ON
INFO:root:T= 1677662416.299105 | finished for command Valve F7 ON
INFO:root:T= 1677662416.299105 | asked for command Valve F8 ON
INFO:root:T= 1677662416.309105 | finished for command Valve F8 ON
INFO:root:T= 1677662416.519106| Pinching front valves
INFO:root:T= 1677662416.519106 | asked for command Valve F1 OFF
INFO:root:T= 1677662416.529106 | finished for command Valve F1 OFF
INFO:root:T= 1677662416.529106 | asked for command Valve F2 OFF
INFO:root:T= 1677662416.539106 | finished for command Valve F2 OFF
INFO:root:T= 1677662416.539106 | asked for command Valve F3 OFF
INFO:root:T= 1677662416.549106 | finished for command Valve F3 OFF
INFO:root:T= 1677662416.549106 | asked for command Valve F4 OFF
INFO:root:T= 1677662416.559106 | finished for command Valve F4 OFF
INFO:root:T= 1677662416.559106 | asked for command Valve F5 OFF
INFO:root:T= 1677662416.569106 | finished for command Valve F5 OFF
INFO:root:T= 1677662416.569106 | asked for command Valve F6 OFF
INFO:root:T= 1677662416.579106 | finished for command Valve F6 OFF
INFO:root:T= 1677662416.579106 | asked for command Valve F7 OFF
INFO:root:T= 1677662416.589106 | finished for command Valve F7 OFF
INFO:root:T= 1677662416.589106 | asked for command Valve F8 OFF
INFO:root:T= 1677662416.599106 | finished for command Valve F8 OFF
INFO:root:T= 1677662421.679113 | asked for opening Valve B1 for duration 10.000000 seconds
INFO:root:T= 1677662421.679113 | asked for command Valve B1 ON
INFO:root:T= 1677662421.699113 | finished for command Valve B1 ON
INFO:root:T= 1677662421.699113 | asked for opening Valve B2 for duration 10.000000 seconds
INFO:root:T= 1677662421.699113 | asked for command Valve B2 ON
INFO:root:T= 1677662421.709113 | finished for command Valve B2 ON
INFO:root:T= 1677662421.709113 | asked for opening Valve B3 for duration 10.000000 seconds
INFO:root:T= 1677662421.709113 | asked for command Valve B3 ON
INFO:root:T= 1677662421.719113 | finished for command Valve B3 ON
INFO:root:T= 1677662421.719113 | asked for opening Valve B4 for duration 10.000000 seconds
INFO:root:T= 1677662421.719113 | asked for command Valve B4 ON
INFO:root:T= 1677662421.729113 | finished for command Valve B4 ON
INFO:root:T= 1677662431.709127 | asked for command Valve B2 OFF
INFO:root:T= 1677662431.709127 | asked for command Valve B1 OFF
INFO:root:T= 1677662431.719127 | asked for command Valve B3 OFF
INFO:root:T= 1677662431.719127 | finished for command Valve B1 OFF
INFO:root:T= 1677662431.719127 | finished for command Valve B2 OFF
INFO:root:T= 1677662431.729127 | asked for command Valve B4 OFF
INFO:root:T= 1677662431.729127 | finished for command Valve B3 OFF
INFO:root:T= 1677662431.739127 | finished for command Valve B4 OFF
INFO:root:T= 1677662431.739127 | sending request blink/1 to the ot2
INFO:root:T= 1677662431.769127 | Finished request blink/1 to the ot2
INFO:root:T= 1677662431.769127 | asked for command Valve B1 ON
INFO:root:T= 1677662431.779127 | finished for command Valve B1 ON
INFO:root:T= 1677662431.779127 | asked for command Valve B2 ON
INFO:root:T= 1677662431.789127 | finished for command Valve B2 ON
