INFO:root:T=1677662205.6088104 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1677662212.938821| Pinching front valves
INFO:root:T= 1677662217.558827| Pinching front valves
INFO:root:T= 1677662217.558827 | asked for command Valve F1 ON
INFO:root:T= 1677662217.578827 | finished for command Valve F1 ON
INFO:root:T= 1677662217.578827 | asked for command Valve F2 ON
INFO:root:T= 1677662217.588827 | finished for command Valve F2 ON
INFO:root:T= 1677662217.588827 | asked for command Valve F3 ON
INFO:root:T= 1677662217.598827 | finished for command Valve F3 ON
INFO:root:T= 1677662217.598827 | asked for command Valve F4 ON
INFO:root:T= 1677662217.608827 | finished for command Valve F4 ON
INFO:root:T= 1677662217.608827 | asked for command Valve F5 ON
INFO:root:T= 1677662217.618827 | finished for command Valve F5 ON
INFO:root:T= 1677662217.618827 | asked for command Valve F6 ON
INFO:root:T= 1677662217.628827 | finished for command Valve F6 ON
INFO:root:T= 1677662217.628827 | asked for command Valve F7 ON
INFO:root:T= 1677662217.638827 | finished for command Valve F7 ON
INFO:root:T= 1677662217.638827 | asked for command Valve F8 ON
INFO:root:T= 1677662217.648827 | finished for command Valve F8 ON
INFO:root:T= 1677662217.928828| Pinching front valves
INFO:root:T= 1677662217.928828 | asked for command Valve F1 OFF
INFO:root:T= 1677662217.948828 | finished for command Valve F1 OFF
INFO:root:T= 1677662217.948828 | asked for command Valve F2 OFF
INFO:root:T= 1677662217.958828 | finished for command Valve F2 OFF
INFO:root:T= 1677662217.958828 | asked for command Valve F3 OFF
INFO:root:T= 1677662217.968828 | finished for command Valve F3 OFF
INFO:root:T= 1677662217.968828 | asked for command Valve F4 OFF
INFO:root:T= 1677662217.978828 | finished for command Valve F4 OFF
INFO:root:T= 1677662217.978828 | asked for command Valve F5 OFF
INFO:root:T= 1677662217.988828 | finished for command Valve F5 OFF
INFO:root:T= 1677662217.988828 | asked for command Valve F6 OFF
INFO:root:T= 1677662217.998828 | finished for command Valve F6 OFF
INFO:root:T= 1677662217.998828 | asked for command Valve F7 OFF
INFO:root:T= 1677662218.008828 | finished for command Valve F7 OFF
INFO:root:T= 1677662218.008828 | asked for command Valve F8 OFF
INFO:root:T= 1677662218.018828 | finished for command Valve F8 OFF
INFO:root:T= 1677662234.908851 | asked for opening Valve B1 for duration 10.000000 seconds
INFO:root:T= 1677662234.918851 | asked for command Valve B1 ON
INFO:root:T= 1677662234.928851 | finished for command Valve B1 ON
INFO:root:T= 1677662234.928851 | asked for opening Valve B2 for duration 10.000000 seconds
INFO:root:T= 1677662234.928851 | asked for command Valve B2 ON
INFO:root:T= 1677662234.938851 | finished for command Valve B2 ON
INFO:root:T= 1677662234.938851 | asked for opening Valve B3 for duration 10.000000 seconds
INFO:root:T= 1677662234.938851 | asked for command Valve B3 ON
