INFO:root:T=1654000505.3679907 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1654000516.348006| Pinching front valves
INFO:root:T= 1654000516.348006 | asked for command Valve F1 ON
INFO:root:T= 1654000516.368006 | finished for command Valve F1 ON
INFO:root:T= 1654000516.368006 | asked for command Valve F2 ON
INFO:root:T= 1654000516.398006 | finished for command Valve F2 ON
INFO:root:T= 1654000516.398006 | asked for command Valve F3 ON
INFO:root:T= 1654000516.428006 | finished for command Valve F3 ON
INFO:root:T= 1654000516.428006 | asked for command Valve F4 ON
INFO:root:T= 1654000516.458007 | finished for command Valve F4 ON
INFO:root:T= 1654000516.458007 | asked for command Valve F5 ON
INFO:root:T= 1654000516.478006 | finished for command Valve F5 ON
INFO:root:T= 1654000516.478006 | asked for command Valve F6 ON
INFO:root:T= 1654000516.488006 | finished for command Valve F6 ON
INFO:root:T= 1654000516.488006 | asked for command Valve F7 ON
INFO:root:T= 1654000516.508006 | finished for command Valve F7 ON
INFO:root:T= 1654000516.508006 | asked for command Valve F8 ON
INFO:root:T= 1654000516.538007 | finished for command Valve F8 ON
INFO:root:T= 1654000560.839069| Pinching front valves
INFO:root:T= 1654000560.839069 | asked for command Valve F1 OFF
INFO:root:T= 1654000560.859069 | finished for command Valve F1 OFF
INFO:root:T= 1654000560.859069 | asked for command Valve F2 OFF
INFO:root:T= 1654000560.869069 | finished for command Valve F2 OFF
INFO:root:T= 1654000560.869069 | asked for command Valve F3 OFF
INFO:root:T= 1654000560.879069 | finished for command Valve F3 OFF
INFO:root:T= 1654000560.879069 | asked for command Valve F4 OFF
INFO:root:T= 1654000560.889069 | finished for command Valve F4 OFF
INFO:root:T= 1654000560.889069 | asked for command Valve F5 OFF
INFO:root:T= 1654000560.899069 | finished for command Valve F5 OFF
INFO:root:T= 1654000560.899069 | asked for command Valve F6 OFF
INFO:root:T= 1654000560.909069 | finished for command Valve F6 OFF
INFO:root:T= 1654000560.909069 | asked for command Valve F7 OFF
INFO:root:T= 1654000560.919069 | finished for command Valve F7 OFF
INFO:root:T= 1654000560.919069 | asked for command Valve F8 OFF
INFO:root:T= 1654000560.929069 | finished for command Valve F8 OFF
INFO:root:T= 1654001316.670411 | asked for opening Valve B1 for duration 10.000000 seconds
INFO:root:T= 1654001316.670411 | asked for command Valve B1 ON
WARNING:root:reading Valve B1 state not successful, trying again
INFO:root:T= 1654001319.680415 | finished for command Valve B1 ON
INFO:root:T= 1654001319.680415 | asked for opening Valve B2 for duration 10.000000 seconds
INFO:root:T= 1654001319.680415 | asked for command Valve B2 ON
INFO:root:T= 1654001319.690416 | finished for command Valve B2 ON
INFO:root:T= 1654001319.690416 | asked for opening Valve B3 for duration 10.000000 seconds
INFO:root:T= 1654001319.690416 | asked for command Valve B3 ON
INFO:root:T= 1654001319.700415 | finished for command Valve B3 ON
INFO:root:T= 1654001319.700415 | asked for opening Valve B4 for duration 10.000000 seconds
INFO:root:T= 1654001319.700415 | asked for command Valve B4 ON
INFO:root:T= 1654001319.710416 | finished for command Valve B4 ON
INFO:root:T= 1654001329.680429 | asked for command Valve B1 OFF
INFO:root:T= 1654001329.690429 | finished for command Valve B1 OFF
INFO:root:T= 1654001329.710430 | asked for command Valve B3 OFF
INFO:root:T= 1654001329.710430 | asked for command Valve B2 OFF
INFO:root:T= 1654001329.710430 | asked for command Valve B4 OFF
INFO:root:T= 1654001329.720430 | finished for command Valve B3 OFF
INFO:root:T= 1654001329.730430 | finished for command Valve B2 OFF
INFO:root:T= 1654001329.730430 | finished for command Valve B4 OFF
INFO:root:T= 1654001720.360976 | asked for opening Valve B1 for duration 10.000000 seconds
INFO:root:T= 1654001720.360976 | asked for command Valve B1 ON
WARNING:root:reading Valve B1 state not successful, trying again
INFO:root:T= 1654001723.370981 | finished for command Valve B1 ON
INFO:root:T= 1654001723.370981 | asked for opening Valve B2 for duration 10.000000 seconds
INFO:root:T= 1654001723.370981 | asked for command Valve B2 ON
INFO:root:T= 1654001723.380981 | finished for command Valve B2 ON
INFO:root:T= 1654001723.380981 | asked for opening Valve B3 for duration 10.000000 seconds
INFO:root:T= 1654001723.380981 | asked for command Valve B3 ON
INFO:root:T= 1654001723.390981 | finished for command Valve B3 ON
INFO:root:T= 1654001723.390981 | asked for opening Valve B4 for duration 10.000000 seconds
INFO:root:T= 1654001723.390981 | asked for command Valve B4 ON
INFO:root:T= 1654001723.400981 | finished for command Valve B4 ON
INFO:root:T= 1654001733.370995 | asked for command Valve B1 OFF
INFO:root:T= 1654001733.380995 | asked for command Valve B2 OFF
INFO:root:T= 1654001733.380995 | finished for command Valve B1 OFF
INFO:root:T= 1654001733.390995 | asked for command Valve B3 OFF
INFO:root:T= 1654001733.390995 | finished for command Valve B2 OFF
INFO:root:T= 1654001733.400995 | asked for command Valve B4 OFF
INFO:root:T= 1654001733.400995 | finished for command Valve B3 OFF
INFO:root:T= 1654001733.410995 | finished for command Valve B4 OFF
INFO:root:T= 1654002144.743571| Started an input pumps priming sequence
INFO:root:T= 1654002151.503580 | asked for opening Pump L1 for duration 6.000000 seconds
INFO:root:T= 1654002151.503580 | asked for command Pump L1 ON
WARNING:root:reading Pump L1 state not successful, trying again
INFO:root:T= 1654002154.523585 | finished for command Pump L1 ON
INFO:root:T= 1654002154.523585 | asked for opening Pump L2 for duration 6.000000 seconds
INFO:root:T= 1654002154.523585 | asked for command Pump L2 ON
INFO:root:T= 1654002154.533584 | finished for command Pump L2 ON
INFO:root:T= 1654002154.533584 | asked for opening Pump L3 for duration 6.000000 seconds
INFO:root:T= 1654002154.533584 | asked for command Pump L3 ON
INFO:root:T= 1654002154.543585 | finished for command Pump L3 ON
INFO:root:T= 1654002154.543585 | asked for opening Pump L4 for duration 6.000000 seconds
INFO:root:T= 1654002154.543585 | asked for command Pump L4 ON
INFO:root:T= 1654002154.553584 | finished for command Pump L4 ON
INFO:root:T= 1654002154.553584 | asked for opening Pump L5 for duration 6.000000 seconds
INFO:root:T= 1654002154.553584 | asked for command Pump L5 ON
INFO:root:T= 1654002154.563585 | finished for command Pump L5 ON
INFO:root:T= 1654002154.563585 | asked for opening Pump L6 for duration 6.000000 seconds
INFO:root:T= 1654002154.563585 | asked for command Pump L6 ON
INFO:root:T= 1654002154.573584 | finished for command Pump L6 ON
INFO:root:T= 1654002154.573584 | asked for opening Pump L7 for duration 6.000000 seconds
INFO:root:T= 1654002154.573584 | asked for command Pump L7 ON
INFO:root:T= 1654002154.583585 | finished for command Pump L7 ON
INFO:root:T= 1654002154.583585 | asked for opening Pump L8 for duration 6.000000 seconds
INFO:root:T= 1654002154.583585 | asked for command Pump L8 ON
INFO:root:T= 1654002154.593584 | finished for command Pump L8 ON
INFO:root:T= 1654002160.523593 | asked for command Pump L1 OFF
INFO:root:T= 1654002160.533593 | asked for command Pump L2 OFF
INFO:root:T= 1654002160.533593 | finished for command Pump L1 OFF
INFO:root:T= 1654002160.543593 | finished for command Pump L2 OFF
INFO:root:T= 1654002160.553593 | asked for command Pump L3 OFF
INFO:root:T= 1654002160.553593 | asked for command Pump L4 OFF
INFO:root:T= 1654002160.563593 | asked for command Pump L5 OFF
INFO:root:T= 1654002160.563593 | finished for command Pump L3 OFF
INFO:root:T= 1654002160.563593 | finished for command Pump L4 OFF
INFO:root:T= 1654002160.573593 | finished for command Pump L5 OFF
INFO:root:T= 1654002160.583593 | asked for command Pump L7 OFF
INFO:root:T= 1654002160.583593 | asked for command Pump L6 OFF
INFO:root:T= 1654002160.593593 | finished for command Pump L6 OFF
INFO:root:T= 1654002160.593593 | finished for command Pump L7 OFF
INFO:root:T= 1654002160.603593 | asked for command Pump L8 OFF
INFO:root:T= 1654002160.613593 | finished for command Pump L8 OFF
INFO:root:T= 1654002164.283598 | asked for opening Pump L1 for duration 6.000000 seconds
INFO:root:T= 1654002164.283598 | asked for command Pump L1 ON
INFO:root:T= 1654002164.293598 | finished for command Pump L1 ON
INFO:root:T= 1654002164.293598 | asked for opening Pump L2 for duration 6.000000 seconds
INFO:root:T= 1654002164.293598 | asked for command Pump L2 ON
