INFO:root:T=1651652540.6763418 | domain=GLOBAL | msg=opto-cyto-reactors cod git id =5bd4dd78ac6acb02da07ca9952f93ca036c8ab53
INFO:root:T= 1651652548.176352| Pinching front valves
INFO:root:T= 1651652548.176352 | asked for command Valve F1 ON
INFO:root:T= 1651652548.196352 | finished for command Valve F1 ON
INFO:root:T= 1651652548.196352 | asked for command Valve F2 ON
INFO:root:T= 1651652548.206352 | finished for command Valve F2 ON
INFO:root:T= 1651652548.206352 | asked for command Valve F3 ON
INFO:root:T= 1651652548.216352 | finished for command Valve F3 ON
INFO:root:T= 1651652548.216352 | asked for command Valve F4 ON
INFO:root:T= 1651652548.226352 | finished for command Valve F4 ON
INFO:root:T= 1651652548.226352 | asked for command Valve F5 ON
INFO:root:T= 1651652548.236352 | finished for command Valve F5 ON
INFO:root:T= 1651652548.236352 | asked for command Valve F6 ON
INFO:root:T= 1651652548.246352 | finished for command Valve F6 ON
INFO:root:T= 1651652548.246352 | asked for command Valve F7 ON
INFO:root:T= 1651652548.256352 | finished for command Valve F7 ON
INFO:root:T= 1651652548.256352 | asked for command Valve F8 ON
INFO:root:T= 1651652548.266352 | finished for command Valve F8 ON
INFO:root:T= 1651652548.786353| Pinching front valves
INFO:root:T= 1651652548.786353 | asked for command Valve F1 OFF
INFO:root:T= 1651652548.816353 | finished for command Valve F1 OFF
INFO:root:T= 1651652548.816353 | asked for command Valve F2 OFF
INFO:root:T= 1651652548.826353 | finished for command Valve F2 OFF
INFO:root:T= 1651652548.826353 | asked for command Valve F3 OFF
INFO:root:T= 1651652548.836353 | finished for command Valve F3 OFF
INFO:root:T= 1651652548.836353 | asked for command Valve F4 OFF
INFO:root:T= 1651652548.846353 | finished for command Valve F4 OFF
INFO:root:T= 1651652548.846353 | asked for command Valve F5 OFF
INFO:root:T= 1651652548.856353 | finished for command Valve F5 OFF
INFO:root:T= 1651652548.856353 | asked for command Valve F6 OFF
INFO:root:T= 1651652548.866354 | finished for command Valve F6 OFF
INFO:root:T= 1651652548.866354 | asked for command Valve F7 OFF
INFO:root:T= 1651652548.876353 | finished for command Valve F7 OFF
